title,doi,pmid,pmcid,journal,issn,publisher,container_title,first_author,publication_date,publication_tier,paper_url,accession,repository,dataset_url,downloadable,download_status,total_size_bytes,file_count,file_manifest,species,is_human,cancer_type_raw,cancer_type,cancer_subtype,tissue,patient_count,sample_count,section_count,cell_count,gene_panel_size,fresh_frozen_or_ffpe,xenium_panel,xenium_role,xenium_reason,paired_scrna,paired_snrna,paired_histology,paired_protein,paired_clinical,foundation_model_related,model_name,model_task,training_sample_count,training_cell_count,model_code_url,model_weights_url,training_data_public,evidence,evidence_text,confidence_score,manual_review_required,source_updated_at,first_seen_at,last_checked_at,source
Efficient prediction of a spatial transcriptomics profile better characterizes breast cancer tissue sections without costly experimentation.,,,,,,,,,,,,S-EPMC8904587,BioStudies,https://www.ebi.ac.uk/biostudies/studies/S-EPMC8904587,,,,0,[],,False,,,,,,,,,,,,mentioned_only,Xenium is not substantively described,False,False,False,False,False,False,,,,,,,,[],,0.2,True,,2026-07-17T05:46:42.738596Z,2026-07-17T05:46:42.738596Z,biostudies
Inference on spatial heterogeneity in tumor microenvironment using spatial transcriptomics data.,,,,,,,,,,,,S-EPMC9410565,BioStudies,https://www.ebi.ac.uk/biostudies/studies/S-EPMC9410565,,,,0,[],,False,,,,,,,,,,,,mentioned_only,Xenium is not substantively described,False,False,False,False,False,False,,,,,,,,[],,0.2,True,,2026-07-17T05:46:42.738500Z,2026-07-17T05:46:42.738500Z,biostudies
Predictive and robust gene selection for spatial transcriptomics.,,,,,,,,,,,,S-EPMC10097645,BioStudies,https://www.ebi.ac.uk/biostudies/studies/S-EPMC10097645,,,,0,[],,False,,,,,,,,,,,,mentioned_only,Xenium is not substantively described,False,False,False,False,False,False,,,,,,,,[],,0.2,True,,2026-07-17T05:46:42.738493Z,2026-07-17T05:46:42.738493Z,biostudies
Assembling spatial clustering framework for heterogeneous spatial transcriptomics data with GRAPHDeep.,,,,,,,,,,,,S-EPMC10832355,BioStudies,https://www.ebi.ac.uk/biostudies/studies/S-EPMC10832355,,,,0,[],,False,,,,,,,,,,,,mentioned_only,Xenium is not substantively described,False,False,False,False,False,False,,,,,,,,[],,0.2,True,,2026-07-17T05:46:42.738486Z,2026-07-17T05:46:42.738487Z,biostudies
Therapy-associated remodeling of pancreatic cancer revealed by single-cell spatial transcriptomics and optimal transport analysis.,,,,,,,,,,,,S-EPMC10327107,BioStudies,https://www.ebi.ac.uk/biostudies/studies/S-EPMC10327107,,,,0,[],,False,,,,,,,,,,,,mentioned_only,Xenium is not substantively described,False,False,False,False,False,False,,,,,,,,[],,0.2,True,,2026-07-17T05:46:42.738479Z,2026-07-17T05:46:42.738480Z,biostudies
Spatial mutual nearest neighbors for spatial transcriptomics data.,,,,,,,,,,,,S-EPMC12317746,BioStudies,https://www.ebi.ac.uk/biostudies/studies/S-EPMC12317746,,,,0,[],,False,,,,,,,,,,,,mentioned_only,Xenium is not substantively described,False,False,False,False,False,False,,,,,,,,[],,0.2,True,,2026-07-17T05:46:42.738471Z,2026-07-17T05:46:42.738471Z,biostudies
"Single-cell spatial transcriptomics in cardiovascular development, disease, and medicine.",,,,,,,,,,,,S-EPMC11367031,BioStudies,https://www.ebi.ac.uk/biostudies/studies/S-EPMC11367031,,,,0,[],,False,,,,,,,,,,,,mentioned_only,Xenium is not substantively described,False,False,False,False,False,False,,,,,,,,[],,0.2,True,,2026-07-17T05:46:42.738464Z,2026-07-17T05:46:42.738464Z,biostudies
CellMap: precision mapping of cellular landscape in spatial transcriptomics.,,,,,,,,,,,,S-EPMC12781899,BioStudies,https://www.ebi.ac.uk/biostudies/studies/S-EPMC12781899,,,,0,[],,False,,,,,,,,,,,,mentioned_only,Xenium is not substantively described,False,False,False,False,False,False,,,,,,,,[],,0.2,True,,2026-07-17T05:46:42.738457Z,2026-07-17T05:46:42.738457Z,biostudies
Assessing heterogeneity in spatial data using the HTA index with applications to spatial transcriptomics and imaging.,,,,,,,,,,,,S-EPMC8598444,BioStudies,https://www.ebi.ac.uk/biostudies/studies/S-EPMC8598444,,,,0,[],,False,,,,,,,,,,,,mentioned_only,Xenium is not substantively described,False,False,False,False,False,False,,,,,,,,[],,0.2,True,,2026-07-17T05:46:42.738450Z,2026-07-17T05:46:42.738450Z,biostudies
Spatial transcriptomics deciphers the immunosuppressive microenvironment in colorectal cancer with tumour thrombus.,,,,,,,,,,,,S-EPMC11608866,BioStudies,https://www.ebi.ac.uk/biostudies/studies/S-EPMC11608866,,,,0,[],,False,,,,,,,,,,,,mentioned_only,Xenium is not substantively described,False,False,False,False,False,False,,,,,,,,[],,0.2,True,,2026-07-17T05:46:42.738439Z,2026-07-17T05:46:42.738440Z,biostudies
